question,sql
What is the season number of the episode seen by 10.11 million people in the US?,SELECT No. in season FROM table WHERE U.S. viewers (millions) = 10.11
"How many different series number does the episode titled ""Skate or Die"" have?","SELECT COUNT No. in series FROM table WHERE Title = ""Skate or Die"""
"What's the series number of the episode titled ""Rapture""?","SELECT No. in series FROM table WHERE Title = ""Rapture"""
How many episodes with different series numbers were seen by 8.69 people in the US?,SELECT COUNT No. in season FROM table WHERE U.S. viewers (millions) = 8.69
"If the language is only native, what is the percentage of the San Antonio de Lomerio municipality?",SELECT San Antonio de Lomerío Municipality (%) FROM table WHERE Language = Only native
"For language Aymara Simi, what was the maximum San Javier municipality percentage?",SELECT MAX San Javier Municipality (%) FROM table WHERE Language = Aymara simi
"If the San Antonio de Lomerio municipality percentage is 5.480, what is the total percentage for the San Julian municipality?",SELECT COUNT San Julián Municipality (%) FROM table WHERE San Antonio de Lomerío Municipality (%) = 5.480
What is the municipality percentage for San Antonio de Lomerio is San Javier municipality percentage is 31?,SELECT San Antonio de Lomerío Municipality (%) FROM table WHERE San Javier Municipality (%) = 31
"If the Cuatro Cañadas municipality percentage is 252, what are all the San Antonio de Lomerío municipality percentage?",SELECT San Antonio de Lomerío Municipality (%) FROM table WHERE Cuatro Cañadas Municipality (%) = 252
What is the San Javier municipality percentage if the Cuatro Cañadas municipality percentage is 202?,SELECT San Javier Municipality (%) FROM table WHERE Cuatro Cañadas Municipality (%) = 202
How many total number have robert young as the director?,SELECT COUNT # FROM table WHERE Director = Robert Young
"How many numbers have Charles Salmon as the producer and January 27, 2007 was the television premiere?","SELECT MIN # FROM table WHERE Producer = Charles Salmon AND Television Premiere = January 27, 2007"
How many dvd releases where directed by david decoteau?,SELECT COUNT DVD release FROM table WHERE Director = David DeCoteau
When was the dvd release directed by Billy O'Brien?,SELECT DVD release FROM table WHERE Director = Billy O'Brien
What was the record after game 20?,SELECT Record FROM table WHERE Game = 20
"For the game against Iowa, who had the most assists?",SELECT High assists FROM table WHERE Team = Iowa
state high assists on february 15,SELECT High assists FROM table WHERE Date = February 15
how many high points where date is february 19,SELECT COUNT High points FROM table WHERE Date = February 19
state the number of location attendance where record is 15–10 (5–7),SELECT COUNT Location Attendance FROM table WHERE Record = 15–10 (5–7)
how many dates where high assists is stu douglass (5) – 4,SELECT COUNT Date FROM table WHERE High assists = Stu Douglass (5) – 4
how many records were made on february 22,SELECT COUNT Record FROM table WHERE Date = February 22
Name the most applications for 1986,SELECT MAX Applications FROM table WHERE Year = 1986
Name the torque for 1986,SELECT Torque FROM table WHERE Year = 1986
What network showed the season with Australia as the destination?,SELECT Network FROM table WHERE Destination = Australia
What was the latest season with 20 contestants?,SELECT MAX Season FROM table WHERE Contestants = 20
What season was won by Ashutosh Kaushik?,SELECT MIN Season FROM table WHERE Winner = Ashutosh Kaushik
What was the destination of the season won by Anwar Syed?,SELECT Destination FROM table WHERE Winner = Anwar Syed
What season was won by Anthony Yeh?,SELECT Season FROM table WHERE Winner = Anthony Yeh
Who won the season with Africa as its destination?,SELECT Winner FROM table WHERE Destination = Africa
What is the African Spoonbill when the Hadeda Ibis is the Brown Snake Eagle?,SELECT African Spoonbill FROM table WHERE Hadeda Ibis = Brown Snake Eagle
What is the Hadeda Ibis when the Ostrich is Dark Chanting Goshawk?,SELECT Hadeda Ibis FROM table WHERE Ostrich = Dark Chanting Goshawk
What is the African Spoonbill when the Hadeda Ibis is Flernecked Nightjar?,SELECT African Spoonbill FROM table WHERE Hadeda Ibis = Flernecked Nightjar
What is the Hadeda Ibis when the Knobbilled Duck is Pied Crow?,SELECT Hadeda Ibis FROM table WHERE Knobbilled Duck = Pied Crow
What is the African Spoonbill when the Ostrich is Brown-hooded Kingfisher?,SELECT African Spoonbill FROM table WHERE Ostrich = Brown-hooded Kingfisher
What is the Hadeda Ibis when the Whitefaced Duck is Blacksmith Plover?,SELECT Hadeda Ibis FROM table WHERE Whitefaced Duck = Blacksmith Plover
Name the winning pilot for hungary,SELECT Winning Pilot FROM table WHERE Country = Hungary
Name the most round for michael goulian,SELECT MAX Round FROM table WHERE Winning Pilot = Michael Goulian
Name the country for hannes arch,SELECT Country FROM table WHERE Winning Pilot = Hannes Arch
Who wrote the episode with series number 45?,SELECT Written by FROM table WHERE No. in series = 45
How many millions of people in the US saw the episode with production code 214?,SELECT U.S. viewers (millions) FROM table WHERE Production code = 214
What's the title of the episode seen by 3.8 million people in the US?,SELECT Title FROM table WHERE U.S. viewers (millions) = 3.8
"Who wrote the episode titled ""Mission gone bad"" ""Trapped in Paris""?","SELECT Written by FROM table WHERE Title = ""Mission Gone Bad"" ""Trapped in Paris"""
On how many different dates did the episode with series number 35 air for the first time?,SELECT COUNT Original air date FROM table WHERE No. in series = 35
Name the date for value 55c,SELECT Date FROM table WHERE Value = 55c
Name the scott for chloropsis hardwickii,SELECT Scott FROM table WHERE Species = Chloropsis hardwickii
How many people lived in bulac in the year 2000?,SELECT MAX Population (2000) FROM table WHERE Barangay = Bulac
"In 2010, how many people lived in cities with a population density of 3,965.02?","SELECT Population (2010) FROM table WHERE Population Density (2010) = 3,965.02"
What's the name of the barangay whose area is 3.6787 km² ?,SELECT Barangay FROM table WHERE Area (in km 2 ) = 3.6787
How many people lived in the city which has 1.2530 km² in the year 2000?,SELECT MAX Population (2000) FROM table WHERE Area (in km 2 ) = 1.2530
How many people lived in san gabriel in the year 2000?,SELECT COUNT Population (2000) FROM table WHERE Barangay = San Gabriel
"How many different titles does the representative whose mission was terminated on August 5, 1984 have?","SELECT COUNT Title FROM table WHERE Termination of Mission = August 5, 1984"
"What state does the representative whose mission was terminated on November 29, 1973 represent?","SELECT State FROM table WHERE Termination of Mission = November 29, 1973"
"Who trained the representative whose presentation of credentials happened on February 24, 1950?","SELECT Training FROM table WHERE Presentation of Credentials = February 24, 1950"
When was the film Här har du ditt liv used in nomination?,SELECT Year (Ceremony) FROM table WHERE Original title = Här har du ditt liv
What's the original title of the film Zozo?,SELECT Original title FROM table WHERE Film title used in nomination = Zozo
What's the original title of The New Land?,SELECT Original title FROM table WHERE Film title used in nomination = The New Land
Name the championship for winner and judy tegart dalton lesley turner bowrey,SELECT COUNT Championship FROM table WHERE Outcome = Winner AND Opponents = Judy Tegart Dalton Lesley Turner Bowrey
Name the outcome for wimbledon,SELECT Outcome FROM table WHERE Championship = Wimbledon
"Name the opponets for  6–4, 3–6, 6–2","SELECT Opponents FROM table WHERE Score = 6–4, 3–6, 6–2"
Name the least year for evonne goolagong helen gourlay,SELECT MIN Year FROM table WHERE Opponents = Evonne Goolagong Helen Gourlay
Name the surface for australian open for winner,SELECT Surface FROM table WHERE Championship = Australian Open AND Outcome = Winner
What's the highest scoring team in the round in Ring Knutstorp in which Polestar Racing is the winning team?,SELECT Highest Scoring Team FROM table WHERE Circuit/Location = Ring Knutstorp AND Winning Team = Polestar Racing
How many rounds were there in Karlskoga Motorstadion with Roger Eriksson at the pole position?,SELECT COUNT Round FROM table WHERE Circuit/Location = Karlskoga Motorstadion AND Pole Position = Roger Eriksson
What was the first leg result in the round against Norchi Dinamoeli?,SELECT First Leg FROM table WHERE Opposition = Norchi Dinamoeli
which vehicles got best time of day 1:17.17,SELECT Vehicle FROM table WHERE Best Time of Day = 1:17.17
how many drivers driving toyota corolla,SELECT COUNT Driver FROM table WHERE Vehicle = Toyota Corolla
what is the lowest position of brendan sole,SELECT MAX Pos FROM table WHERE Driver = Brendan Sole
how many vehicles where top 13 time is 1:18.72,SELECT COUNT Vehicle FROM table WHERE Top 13 Time = 1:18.72
which driver got best time of day 1:16.93,SELECT Driver FROM table WHERE Best Time of Day = 1:16.93
What is the amount of assists when mins is 744:27?,SELECT Assists FROM table WHERE Mins = 744:27
What is the game number with 385:33 mins?,SELECT MIN Games FROM table WHERE Mins = 385:33
What is the points number when rebounds is 4.4?,SELECT Points FROM table WHERE Rebounds = 4.4
Who is the team with the ft% of 77.6?,SELECT Team FROM table WHERE FT% = 77.6
When did Austin Austin TX get the third place?,SELECT Year FROM table WHERE Third Place = Austin Austin TX
Who was the first runner up in the year when Mesa Mesa AZ was the consolation winner?,SELECT First Runner Up FROM table WHERE Consolation Winner/4th = Mesa Mesa AZ
Who has a religion of United Methodist and a prior background of a Congressional Aide?,SELECT Representative FROM table WHERE Religion = United Methodist AND Prior background = Congressional aide
What horse had a starting price of 14/1 and weighted 10-7?,"SELECT Name FROM table WHERE Starting price = 14/1 AND Weight (st, lb) = 10-7"
What's the number of the horse weighting 10-5?,"SELECT MIN Number FROM table WHERE Weight (st, lb) = 10-5"
What horse has the number 25?,SELECT Name FROM table WHERE Number = 25
How much does Point Barrow weight?,"SELECT Weight (st, lb) FROM table WHERE Name = Point Barrow"
What are Andrew McNamara's colors?,SELECT Colours FROM table WHERE Jockey = Andrew McNamara
What's the number of the horse whose trainer is Kim Bailey?,SELECT MAX Number FROM table WHERE Trainer = Kim Bailey
Who wrote episode number 48,SELECT Written by FROM table WHERE No. in series = 48
What is the lowest production code,SELECT MIN Production code FROM table
What was the original title of 3.19?,SELECT Original title FROM table WHERE Production code = 3.19
"What was the production code for ""down to earth""?","SELECT Production code FROM table WHERE Original title = ""Down to Earth"""
How many numbers have the product code of 2.6?,SELECT # FROM table WHERE Prod. code = 2.6
How many directed have the product code of 2.8?,SELECT COUNT Directed by FROM table WHERE Prod. code = 2.8
